# key,rule,type,severity,status,creationDate,updateDate,projectKey,projectName,branch,pullRequest,file,line,effort,message
AX_wqw22nUr6BY9R7kB1,javascript:S1481,CODE_SMELL,MINOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/api/upload-image.js,5,5,Remove the declaration of the unused 'title' variable.
AX_wqw22nUr6BY9R7kB2,javascript:S1854,CODE_SMELL,MAJOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/api/upload-image.js,5,15,"Remove this useless assignment to variable ""title""."
AX_wqwtznUr6BY9R7kAW,javascript:S3800,CODE_SMELL,MAJOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/components/CategoryImage.js,22,20,Refactor this function to always return the same type.
AX_wqwygnUr6BY9R7kBF,javascript:S1128,CODE_SMELL,MINOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/components/CheckoutProcess.js,9,2,Remove this unused import of 'CheckOutHeader'.
AX_wqwxbnUr6BY9R7kBA,javascript:S1128,CODE_SMELL,MINOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/components/CheckoutSummary.js,2,2,Remove this unused import of 'USD'.
AX_wqwxbnUr6BY9R7kBB,javascript:S1128,CODE_SMELL,MINOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/components/CheckoutSummary.js,3,2,Remove this unused import of 'useSelector'.
AX_wqwxbnUr6BY9R7kBC,javascript:S1128,CODE_SMELL,MINOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/components/CheckoutSummary.js,3,2,Remove this unused import of 'useDispatch'.
AX_wqwxbnUr6BY9R7kBD,javascript:S1128,CODE_SMELL,MINOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/components/CheckoutSummary.js,4,2,Remove this unused import of 'CategoryImage'.
AX_wqwxbnUr6BY9R7kBE,javascript:S1128,CODE_SMELL,MINOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/components/CheckoutSummary.js,5,2,Remove this unused import of 'removeProduct'.
AX_wqwwenUr6BY9R7kA8,javascript:S3358,CODE_SMELL,MAJOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/components/HomeSlider.js,24,5,Extract this nested ternary operation into an independent statement.
AX_wqwwenUr6BY9R7kA9,javascript:S3358,CODE_SMELL,MAJOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/components/HomeSlider.js,28,5,Extract this nested ternary operation into an independent statement.
AX_wqwwenUr6BY9R7kA-,javascript:S1117,CODE_SMELL,MAJOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/components/HomeSlider.js,42,5,'currentItem' is already declared in the upper scope.
AX_wqwwenUr6BY9R7kA_,javascript:S1117,CODE_SMELL,MAJOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/components/HomeSlider.js,52,5,'currentItem' is already declared in the upper scope.
AX_wqwywnUr6BY9R7kBG,javascript:S3358,CODE_SMELL,MAJOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/components/InputField.js,38,5,Extract this nested ternary operation into an independent statement.
AX_wqwywnUr6BY9R7kBH,javascript:S3358,CODE_SMELL,MAJOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/components/InputField.js,51,5,Extract this nested ternary operation into an independent statement.
AX_wqwvgnUr6BY9R7kAo,javascript:S1128,CODE_SMELL,MINOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/components/LayoutAlt.js,11,2,Remove this unused import of 'Icons'.
AX_wqwvDnUr6BY9R7kAj,javascript:S1128,CODE_SMELL,MINOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/components/homepage/Testimonials.js,4,2,Remove this unused import of 'IconStarOutline'.
AX_wqwvDnUr6BY9R7kAm,javascript:S3358,CODE_SMELL,MAJOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/components/homepage/Testimonials.js,74,5,Extract this nested ternary operation into an independent statement.
AX_wqwvznUr6BY9R7kAq,javascript:S3863,CODE_SMELL,MINOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/components/icons.js,3,1,'react' import is duplicated.
AX_wqwwOnUr6BY9R7kA4,css:S4662,BUG,MAJOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/components/layout.css,1,1,"Unexpected unknown at-rule ""@tailwind"""
AX_wqwwOnUr6BY9R7kA5,css:S4662,BUG,MAJOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/components/layout.css,2,1,"Unexpected unknown at-rule ""@tailwind"""
AX_wqwwOnUr6BY9R7kA6,css:S4662,BUG,MAJOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/components/layout.css,3,1,"Unexpected unknown at-rule ""@tailwind"""
AX_wqwwOnUr6BY9R7kA7,css:S4662,BUG,MAJOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/components/layout.css,4,1,"Unexpected unknown at-rule ""@layer"""
AX_wqws7nUr6BY9R7kAR,javascript:S4624,CODE_SMELL,MAJOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/components/layout/Breadcrumbs.js,53,10,Refactor this code to not use nested template literals.
AX_wqwsxnUr6BY9R7kAP,javascript:S1135,CODE_SMELL,INFO,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/components/layout/FooterAlt.js,66,0,"Complete the task associated to this ""TODO"" comment."
AX_wqwtbnUr6BY9R7kAU,javascript:S1128,CODE_SMELL,MINOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/components/layout/ShopHeader.js,7,2,Remove this unused import of 'USD_P2'.
AX_wqwuanUr6BY9R7kAY,javascript:S3776,CODE_SMELL,CRITICAL,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/components/seo.js,17,26,Refactor this function to reduce its Cognitive Complexity from 36 to the 15 allowed.
AX_wqwuanUr6BY9R7kAZ,javascript:S3358,CODE_SMELL,MAJOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/components/seo.js,64,5,Extract this nested ternary operation into an independent statement.
AX_wqwuanUr6BY9R7kAa,javascript:S2589,CODE_SMELL,MAJOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/components/seo.js,73,10,This always evaluates to truthy. Consider refactoring this code.
AX_wqwuanUr6BY9R7kAb,javascript:S2589,CODE_SMELL,MAJOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/components/seo.js,75,10,This always evaluates to truthy. Consider refactoring this code.
AX_wqwuanUr6BY9R7kAc,javascript:S3358,CODE_SMELL,MAJOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/components/seo.js,92,5,Extract this nested ternary operation into an independent statement.
AX_wqwuanUr6BY9R7kAd,javascript:S3358,CODE_SMELL,MAJOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/components/seo.js,143,5,Extract this nested ternary operation into an independent statement.
AX_wqwuanUr6BY9R7kAe,javascript:S3358,CODE_SMELL,MAJOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/components/seo.js,335,5,Extract this nested ternary operation into an independent statement.
AX_wqwuanUr6BY9R7kAf,javascript:S4624,CODE_SMELL,MAJOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/components/seo.js,343,10,Refactor this code to not use nested template literals.
AX_wqwuanUr6BY9R7kAg,javascript:S4624,CODE_SMELL,MAJOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/components/seo.js,348,10,Refactor this code to not use nested template literals.
AX_wqwuanUr6BY9R7kAh,javascript:S3358,CODE_SMELL,MAJOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/components/seo.js,367,5,Extract this nested ternary operation into an independent statement.
AX_wqwuanUr6BY9R7kAi,javascript:S4624,CODE_SMELL,MAJOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/components/seo.js,367,10,Refactor this code to not use nested template literals.
AX_wqw46nUr6BY9R7kCK,javascript:S5850,BUG,MAJOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/helpers/StringHelpers.js,56,10,Group parts of the regex together to make the intended operator precedence explicit.
AX_wqw2qnUr6BY9R7kBu,javascript:S3863,CODE_SMELL,MINOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/pages/blog.js,7,1,'gatsby' import is duplicated.
AX_wqw2qnUr6BY9R7kBv,javascript:S3863,CODE_SMELL,MINOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/pages/blog.js,8,1,'gatsby-plugin-image' import is duplicated.
AX_wqw2qnUr6BY9R7kBw,javascript:S1128,CODE_SMELL,MINOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/pages/blog.js,8,2,Remove this unused import of 'GatsbyImage'.
AX_wqw2qnUr6BY9R7kBx,javascript:S1128,CODE_SMELL,MINOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/pages/blog.js,8,2,Remove this unused import of 'getImage'.
AX_wqw2qnUr6BY9R7kBy,javascript:S1128,CODE_SMELL,MINOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/pages/blog.js,9,2,Remove this unused import of 'AdditionalForms'.
AX_wqw2qnUr6BY9R7kBz,javascript:S1117,CODE_SMELL,MAJOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/pages/blog.js,41,5,'limit' is already declared in the upper scope.
AX_wqw1xnUr6BY9R7kBe,javascript:S1128,CODE_SMELL,MINOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/pages/checkout.js,5,2,Remove this unused import of 'IconChevronRight'.
AX_wqw0jnUr6BY9R7kBR,javascript:S1128,CODE_SMELL,MINOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/pages/ez-ship-box-request-form.js,3,2,Remove this unused import of 'Link'.
AX_wqw0jnUr6BY9R7kBS,javascript:S1481,CODE_SMELL,MINOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/pages/ez-ship-box-request-form.js,30,5,Remove the declaration of the unused 'updateForm' variable.
AX_wqw0jnUr6BY9R7kBT,javascript:S1854,CODE_SMELL,MAJOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/pages/ez-ship-box-request-form.js,30,15,"Remove this useless assignment to variable ""updateForm""."
AX_wqw2dnUr6BY9R7kBs,javascript:S3776,CODE_SMELL,CRITICAL,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/pages/search.js,51,34,Refactor this function to reduce its Cognitive Complexity from 44 to the 15 allowed.
AX_wqw1InUr6BY9R7kBX,javascript:S1128,CODE_SMELL,MINOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/pages/shop.js,12,2,Remove this unused import of 'USD'.
AX_wqw1qnUr6BY9R7kBb,javascript:S1135,CODE_SMELL,INFO,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/pages/shopping-cart.js,14,0,"Complete the task associated to this ""TODO"" comment."
AX_wqw2CnUr6BY9R7kBh,javascript:S1128,CODE_SMELL,MINOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/pages/thank-you-shopping.js,2,2,Remove this unused import of 'StaticImage'.
AX_wqw2CnUr6BY9R7kBi,javascript:S1128,CODE_SMELL,MINOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/pages/thank-you-shopping.js,3,2,Remove this unused import of 'Link'.
AX_wqw2CnUr6BY9R7kBj,javascript:S1128,CODE_SMELL,MINOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/pages/thank-you-shopping.js,6,2,Remove this unused import of 'IconArrowRight'.
AX_wqw4GnUr6BY9R7kCD,javascript:S1117,CODE_SMELL,MAJOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/state/cart.js,83,5,'product' is already declared in the upper scope.
AX_wqw4YnUr6BY9R7kCE,javascript:S1128,CODE_SMELL,MINOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/state/products.js,1,2,Remove this unused import of 'algoliasearch'.
AX_wqw4YnUr6BY9R7kCF,javascript:S1186,CODE_SMELL,CRITICAL,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/state/products.js,41,5,Unexpected empty arrow function.
AX_wqw0MnUr6BY9R7kBN,javascript:S3776,CODE_SMELL,CRITICAL,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/templates/category.js,60,26,Refactor this function to reduce its Cognitive Complexity from 36 to the 15 allowed.
AX_wqwzrnUr6BY9R7kBI,javascript:S3863,CODE_SMELL,MINOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/templates/product.js,6,1,'gatsby' import is duplicated.
AX_wqwzrnUr6BY9R7kBJ,javascript:S3863,CODE_SMELL,MINOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/templates/product.js,8,1,'../components/CategoryImage' import is duplicated.
AX_wqwzrnUr6BY9R7kBK,javascript:S3776,CODE_SMELL,CRITICAL,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/templates/product.js,22,7,Refactor this function to reduce its Cognitive Complexity from 17 to the 15 allowed.
AX_wqwzrnUr6BY9R7kBL,javascript:S3358,CODE_SMELL,MAJOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/templates/product.js,222,5,Extract this nested ternary operation into an independent statement.
AX_wqwzrnUr6BY9R7kBM,javascript:S3358,CODE_SMELL,MAJOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/templates/product.js,234,5,Extract this nested ternary operation into an independent statement.
AX_wqw5HnUr6BY9R7kCL,,SECURITY_HOTSPOT,,TO_REVIEW,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,python-scripts/fetch-data.py,32,,"""password"" detected here, review this potentially hard-coded credential."
AX_wqw5znUr6BY9R7kCU,,SECURITY_HOTSPOT,,TO_REVIEW,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,gatsby-node.js,18,,"Make sure the regex used here, which is vulnerable to super-linear runtime due to backtracking, cannot lead to denial of service."
AX_wqw45nUr6BY9R7kCJ,,SECURITY_HOTSPOT,,TO_REVIEW,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/helpers/StringHelpers.js,56,,"Make sure the regex used here, which is vulnerable to super-linear runtime due to backtracking, cannot lead to denial of service."
AX_wqwsbnUr6BY9R7kAM,,SECURITY_HOTSPOT,,TO_REVIEW,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/components/layout/Footer.js,16,,Using http protocol is insecure. Use https instead.
AX_wqwsbnUr6BY9R7kAN,,SECURITY_HOTSPOT,,TO_REVIEW,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/components/layout/Footer.js,20,,Using http protocol is insecure. Use https instead.
AX_wqwsxnUr6BY9R7kAO,,SECURITY_HOTSPOT,,TO_REVIEW,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/components/layout/FooterAlt.js,20,,Using http protocol is insecure. Use https instead.
AX_wqwqZnUr6BY9R7kAI,,SECURITY_HOTSPOT,,TO_REVIEW,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/components/layout/Header.js,20,,Using http protocol is insecure. Use https instead.
AX_wqwtNnUr6BY9R7kAT,,SECURITY_HOTSPOT,,TO_REVIEW,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/components/layout/HomeMenu.js,62,,Using http protocol is insecure. Use https instead.
AX_wqwr4nUr6BY9R7kAK,,SECURITY_HOTSPOT,,TO_REVIEW,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/components/layout/ShopMenu.js,28,,Using http protocol is insecure. Use https instead.
AX_wqw0MnUr6BY9R7kBO,,SECURITY_HOTSPOT,,TO_REVIEW,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/templates/category.js,139,,Using http protocol is insecure. Use https instead.
